File1	File2	Name
S00005_S1_L001_R1_001.fastq	S00005_S1_L001_R2_001.fastq	S00005
S00006_S2_L001_R1_001.fastq	S00006_S2_L001_R2_001.fastq	S00006
S00017_S1_L001_R1_001.fastq	S00017_S1_L001_R2_001.fastq	S00017
S00018_S2_L001_R1_001.fastq	S00018_S2_L001_R2_001.fastq	S00018
S00022_S3_L001_R1_001.fastq	S00022_S3_L001_R2_001.fastq	S00022
S00023_S4_L001_R1_001.fastq	S00023_S4_L001_R2_001.fastq	S00023
S00024_S5_L001_R1_001.fastq	S00024_S5_L001_R2_001.fastq	S00024
S00025_S6_L001_R1_001.fastq	S00025_S6_L001_R2_001.fastq	S00025
S00026_S13_L001_R1_001.fastq	S00026_S13_L001_R2_001.fastq	S00026
S00027_S14_L001_R1_001.fastq	S00027_S14_L001_R2_001.fastq	S00027
S00033_S15_L001_R1_001.fastq	S00033_S15_L001_R2_001.fastq	S00033
S00034_S16_L001_R1_001.fastq	S00034_S16_L001_R2_001.fastq	S00034
S00035_S3_L001_R1_001.fastq	S00035_S3_L001_R2_001.fastq	S00035
S00036_S4_L001_R1_001.fastq	S00036_S4_L001_R2_001.fastq	S00036
S00037_S5_L001_R1_001.fastq	S00037_S5_L001_R2_001.fastq	S00037
S00039_S6_L001_R1_001.fastq	S00039_S6_L001_R2_001.fastq	S00039
S00040_S7_L001_R1_001.fastq	S00040_S7_L001_R2_001.fastq	S00040
S00041_S8_L001_R1_001.fastq	S00041_S8_L001_R2_001.fastq	S00041
S00042_S9_L001_R1_001.fastq	S00042_S9_L001_R2_001.fastq	S00042
S00043_S10_L001_R1_001.fastq	S00043_S10_L001_R2_001.fastq	S00043
S00044_S11_L001_R1_001.fastq	S00044_S11_L001_R2_001.fastq	S00044
S00046_S12_L001_R1_001.fastq	S00046_S12_L001_R2_001.fastq	S00046
S00047_S13_L001_R1_001.fastq	S00047_S13_L001_R2_001.fastq	S00047
S00054_S14_L001_R1_001.fastq	S00054_S14_L001_R2_001.fastq	S00054
S00055_S15_L001_R1_001.fastq	S00055_S15_L001_R2_001.fastq	S00055
S00057_S16_L001_R1_001.fastq	S00057_S16_L001_R2_001.fastq	S00057
